Movie,Cast,Release_year
Shararat,"Babar Ali, Mehr Hassan, Nirma, Shaan",2003
Soldier,"Aleena, Balal, Rashid",2003
Tera Jadu Chal Gaya,"Noor, Moamar Rana",2003
Yeh Waada Raha,"Saima, Shaan, Moamar",2003
Amman Ke Dushman,"Reema, Shaan, Saud",2004
Budha Bigra Jaye,"Aleena, Rambo, Naveed",2004
Daaman Aur Chingari,"Saima, Izhar, Nargis",2004
Hum Ek Hain,"Shaan
Saima",2004
Jan Leva,"Sana, Moamar Rana",2004
Khamosh Pani,"Kiron Kher, Aamir Ali Malik, Arsad Mahmud",2004
Loha,"Samia, Shaan, Rambo",2004
Rabba Ishq Na Howe,"Sami, Asima, Nimra",2004
Salakhain,"Zara Sheikh, Meera, Saud, Ahmed Butt",2004
Sassi Punno,"Sana, Moamar Rana",2004
Daku Haseena,"Sana, khakan, Babur Ali",2005
Dekha Pehli Bar,"Saima, Saud, Megha, Shafqat Cheema, Naghma, Sardar Kemal",2005
Ik Gunah Aur,"Meera, Moamar, Saud",2005
Jhalak,"Aleena, Yasir, Naghma, Habib",2005
Khatarnaak,"Sana, Shaan, Saud, Shafqat",2005
Koi Tujh Sa Kahan,"Irfan Khosat, Veena Malik, Nadeem, Moammar Rana, Reema Khan",2005
Kyun Tum Se Itna Pyar Hai,"Arbaaz Khan, Veena Malik, Ajab Gul, Babrak Shah, Nadeem, Sana",2005
Mustafa Khan,"Saima, Shaan, Resham, Saud",2005
Naag Aur Nagin,"Saima, Moamar Rana, Veena Malik, Babar Ali, Badar Munir, Shafqat Cheema",2005
Parcham,"Sidra, Shahid Khan, Nemat Sarhadi",2005
Pyar To Hota Hai,"Sidra, Shahid Khan, Nemat Sarhadi",2005
Sahib Log,"Saima, Moamar, Nazo, Arbaz",2005
Saturday Night Special,"Sidra, Shahid Khan, Nemat Sarhadi",2005
Tere Bin Jiya Na Jaye,"Zara Sheikh, Imran Malik, Nadeem, Sherry",2005
Dulhan Banti Hein Naseebo Walian,"Reema, Saud, Neeli, Jan Rambo",2006
Fire,"Reema Khan, Meera, Moammar Rana, Saud, Nirma",2006
Gunahon Ka Shehar,"Sana, Ahmad Butt, Saima Khan",2006
Jism,"Roofi Ana'am, Shamyl Khan",2006
Madam Diyaribaz,"Saima, Ahmad Butt, Arbaz Khan",2006
Murder,"Roofi Ana'am, Arbaz Khan, Shamyl Khan",2006
One Two Ka One,"Saima, Moamar Rana, Reema",2006
Pehla Pehla Pyaar,"Zara Sheikh, Nadeem, Resham, Ali Tabish, Babrak Shah",2006
Tarrap,"Nadeem, Resham, Saud, Babrak Shah",2006
Wapsi,"Veena Malik, Shamyl Khan, Arbaz Khan",2006
Zakhmi Aurat,"Sana, Shaan, Roofi Ana'am",2006
Zamin Ke Khuda,"Saima, Shaan, Moamar Rana",2006
Anokhi Shikaran,"Sana, Moamar Rana, Laila",2007
Aurat Ek Khilona,"Reema, Moamar Rana, Babar Ali",2007
Badnaam,"Saima, Moamar Rana",2007
Bichhu,"Saima, Moamar Rana",2007
Ek Daulat Ki Hawas,"Saima, Moammar Rana, Sana",2007
Godfather,"Vinod Khanna, Arbaaz Khan, Meera, Ajab Gul and Shafqat Cheema",2007
Haseena Golimar,"Saima, Moamar Rana",2007
Honey Moon,"Nida Chodhary, Ahmad Butt, Sajna",2007
Jhoomer,"Saima
Moammar Rana",2007
Khuda Ke Liye,"Shaan, Naseeruddin Shah, Fawad Afzal Khan, Iman Ali, Hameed Sheikh",2007
Mein Ek Din Laut Ke Aaoonga,"Humayun Saeed, Nadeem, Nausheen Sardar Ali, Puja Kanwal and Javed Sheikh",2007
Zibahkhana,"Ashfaq Bhatti, Sultan Billa, Osman Khalid Butt, Rubya Chaudhry",2007
Mohabbataan Sachiyaan,"Veena Malik, Babrak Shah, Adnan Khan, Maria Khan",2007
Azan,"Shaan, Saima, Moammar Rana",2008
Anjaam,"Shaan, Veena Malik, Sami Khan",2008
Basanti,"Shaan, Saima, Mustafa Qureshi",2008
Kabhi Pyar Na Karna,"Moammar Rana, Zara Sheikh",2008
Kala Pul,"Saleem Iqbal, Angeline Malik, Munawwar Saeed",2008
Khair De Ka Ghareeb Yum,"Shahid, Sonia Lal, Nazo, Ali Khan, Shabina khan, Mehwish",2008
Zill-e-Shah,"Saima Noor, Shaan Shahid, Noor Bukhari",2008
Khulay Aasman Ke Neechay,"Nadeem Baig, Sana, Saleem Sheikh, Meera, Humayoon Saeed",2008
Ramchand Pakistani,"Nandita Das, Syed Fazel Hussain, Rashid Farooqui",2008
Talabgaar,"Shamyl khan, Sana, Amina Malik",2009
Miss Top 10,"Sana, Shaan",2009
Honeymoon,"Nida Chaudhary, Aisha",2009
Aaj Ki Larki,"Nargis, Shaan, Babar Ali, Saud",2009
Zakhmi Aurat,"Shaan, Sana",2009
Mehbooba,Noor,2009
Loufar,Laila,2009
Anokhi Shikaran,"Sana, Laila",2009
Black Cat,Ahmed Butt,2009
Madam X,Shaan,2009
Husn Parast,Moammar Rana,2009
Virsa,"Gulshan Grover, Mehreen Raheel, Arya Babbar, Kanwaljeet Singh, Noman Ejaz.",2010
Channa Sachi Muchi,"Moammar Rana, Saima, Babar Ali, Hina Shaheen, Mehr Hassan, Shafqat Cheema, Irfan Khoosat and Iftikhar Thakur",2010
Haseena 20/20,"Nida Chodhary, Ahmed Butt, Zeeshan Sikander, Asha Alvi, Salman Hashmi, Mah Zeb",2010
Haseeno ka Mela,"Sana Nawaz, Moammar Rana, Meera (actress), Asha, Nadia, Arzoo, Jan Rambo, Mohsin, Babu Baral, Tariq Shah",2010
Wohti Leke Jaani Ay,"Saima Noor, Shaan Shahid, Iftikhar Thakur, Haya Ali, Mustafa Qureshi, Amanat Chan",2010
Taxi 707,"Ahmed Butt, Nida Chaudhury, Amna, Mah Zeb, Hanan, Ali Raza, Salman",2010
Lado Rani,"Nargis (actress), Silla Hussain, Shaan Shahid, Moammar Rana, Rahila, Maria, Abrar, Aliya, Mustafa Qureshi",2010
Phool Aur Kantay,"Sana Nawaz, Ashfaq, Jawad, Nadia, Rahila, Naghma, Mohsin Ali, Tariq Shah",2010
Numberdarni,"Nargis (actress), Shaan Shahid, Meera (actress), Saud (actor), Rashid, Rahila, Saba, Hina Shaheen, Tariq Shah, Shafqat Cheema",2010
Ilyasa Gujjar,"Nargis (actress), Shaan Shahid, Silah Hussain, Haidar Ali, Rahila, Naghma, Khawar",2010
Parai Dhee,"Babar Ali Sandal, Tabinda, Khawaja Saleem, Qaisar Chodhary",2011
Khamosh Raho,"Juggan Kazim, Shaan Shahid, Bahar Begum, Asif Khan, Ghulam Mohiuddin (actor).",2011
Aik Aur Ghazi,"Saima Noor, Shafqat Cheema Heera Malik, Haya Ali, Shehbaz Akmal,",2011
Bol,"Humaima Malick, Atif Aslam, Mahira Khan, Iman Ali, Shafqat Cheema, Manzar Sehbai.",2011
Love Mein Gum,"Moammar Rana, Reema Khan, Nadeem Baig, Javed Sheikh, Afzal Khan (Jaan Rambo), Nabeel Khan, Araida Corbol and Johnny Lever",2011
Bhai Log,"Nadeem Baig, Javed Sheikh, Moammar Rana, Saima Noor, Babar Ali, Meera Rubab, Shamoon Abbasi, Noor Bukhari and Aamir Qureshi",2011
Jugni,"Shaan Shahid, Saima Noor, Moammar Rana and Arif Lohar.",2011
Kafira,"Dua Qureshi, Sajjad Ahmed Warriach, Shahid Hameed, Shafqat Cheema, Akram Udass, Sobia, Shahid, Tariq Shah.",2011
Danay Pay Dana,"Saima Noor, Moammar Rana, Haya Ali, Shahid, Zafri Khan, Haidar Rana.",2011
Thakur 420,"Nargis (actress) Iftikhar Thakur, Moammar Rana, Sonu Lal, Dua Qureshi, Nasir Chinyoti",2011
Son of Pakistan,"Shamil Khan, Babar Ali, Babrik Shah, Meera Rubab, Sana Nawaz, Shafqat Cheema, Ghulam Mohiuddin (actor)",2011
Lahoria,"Zafri Khan, Saima Malik, Nadia Ali, Shabbir Khan, Majeed Zarif",2012
Achha Gujjar,"Saima Noor, Shaan Shahid, Dua Qureshi, Nawaz Khan, Shafqat Cheema",2012
Malang Badshah,"Nargis, Shaan Shahid Shahid Khan, Jahangir Khan, Shafqat Cheema",2012
Inteqam,"Ajab Gul, Asima Lata, Shahid Khan, Dua Qureshi, Jahangir Khan",2012
Shareeka,"Saima, Shaan Shahid, Bahar Begum, Mustafa Qureshi, Irfan Khoosat, Naghma, Afzaal Ahmed",2012
Sher Dil,"Shaan Shahid, Saima Noor, Sila Hussein, Zeeshan Sikandar, Shafqat Cheema",2012
Charsi,"Shahid Khan, Laila, Asima Lata, Babrak Shah, Jahangir Khan",2012
Gol Chakkar,"Ali Rehman Khan, Hasan Bruun Akhtar, Usman Mukhtar, Uzair Jaswal",2012
Bodyguard,"Dua Qureshi, Jahangir Khan, Dilbar Munir, Mohammad Hussain Swati",2013
Inteha,"Arbaz Khan, Sobia Khan, Babrik Shah, Sunbal, Jahangir Jani",2013
Pakhawri Badmash,"Dua Qureshi, Jahangir Khan, Dilbar Munir, Mohammad Hussain Swati",2013
Dil Praey Des Mein,"Arbaz Khan, Sobia Khan, Babrik Shah, Sunbal, Jahangir Jani",2013
Siyaah,"Hareem Farooq, Qazi Jabbar, Mahnor Usman, Aslam Rana",2013
Bhola Ishtehari,"Saima Noor, Shaan, Saima Khan, Shafqat Cheema",2013
Sher Khan,"Shahid Khan, Asima Lata, Jahangir Khan",2013
No Tension,"Khushboo, Nasir Chinyoti, Sardar Kemal",2013
Mast Malang,"Shahid Khan, Sobia Khan, Jahangir Khan, Babrik Shah, Imran Khan, Mohammad Swati",2013
Chamballi,"Mehreen Syed, Saiqa, Ghulam Mohiuddin, Shafqat Cheema, Salman Pirzada",2013
Meri Shadi Kawao,"Inayat Anjam, Sakhawat Naz, Ashraf Rahi",2013
Mena Kawa Kho 302 Ma Kawa,"Shahid Khan, Dua Qureshi, Jahangir Khan, Babrik Shah, Mohammad Hussain Swati",2013
Love Story,"Shahid Khan, Sobia Khan, Dua Qureshi, Jahangir Khan, Shahsawar Khan",2013
Munafiq,"Arbaz Khan, Sobia Khan, Jahangir Khan",2013
Sarkar,"Shahid Khan, Sobia Khan, Jahangir Khan, Sunbal, Babrik Shah, Priya, Mohammad Hussain Swati, Imran Khan",2013
Ishq Khuda,"Shaan, Saima Noor, Meera, Ahsan Khan, Wiam Dahmani, Humaima Malick, Shafqat Cheema",2013
Josh,"Aamina Sheikh, Mohib Mirza, Khalid Malik, Naveen Waqar, Ali Rizvi",2013
Zama Arman,"Arbaaz Khan, Sobia Khan, Jahangir Khan Jani, Mohammad Hussain Sawati",2013
Loafer,"Shahid Khan, Virda Khan, Jiya Butt, Jahangir Khan, Babrik Shah,",2013
Shart,"Arbaz Khan, Sobia Khan, Jahangir Khan and Shah Sawar Khan",2013
Dirty Girl,"Shahid Khan, Haya Ali, Babrik Shah, Nisha Chodhary, Shafqat Cheema",2013
Qurbani,"Arbaz Khan, Nadia Chodhary, Ajab Gul, Asif Khan, Jahangir Khan",2013
Main Hoon Shahid Afridi,"Humayun Saeed, Mahnoor Baloch, Javed Sheikh, Nadeem, Ismail Tara, Hamza Ali Abbasi, Shafqat Cheema, Summer Nicks, Gohar Rasheed Shehzad Sheikh,",2013
Zinda Bhaag,"Amna Ilyas, Naseeruddin Shah, Khurram Patras, Salman Ahmad Khan",2013
Seedlings,"Mohib Mirza, Aamina Sheikh, Gohar Rasheed, Hira Tareen, Tara Mehmood, Mehreen Rafi",2013
Waar,"Shaan Shahid, Meesha Shafi, Ali Azmat, Shamoon Abbasi, Ayesha Khan, Hamza Ali Abbasi, Uzma Khan, Batin Farooqi, Kamran Lashari, Bilal Lashari",2013
LIbaas,"Ahmed Butt, Madhu, Zafri Ahamd, Zarri Khan, Anjuman Shehzadi",2013
Armaan,"Fawad Khan, Aamina Sheikh, Lubna Aslam, Manzoor Qureshi, Mahnoor Khan, Jahanzaib Khan, Vasay Chaudhry",2013
The System,"Sheraz, Kashaf Ali",2014
Tamanna,"Mehreen Raheel, Omair Rana, Salman Shahid, Feryal Gauhar",2014
Sultanat,"Ahsan Khan, Javeria Abbasi, Javed Sheikh",2014
Dukhtar,"Samiya Mumtaz, Mohib Mirza, Saleha Aref, Asif Khan, Ajab Gul, Samina Ahmad",2014
Na Maloom Afraad,"Fahad Mustafa, Javed Sheikh, Mohsin Abbas Haider, Urwa Hocane",2014
O21,"Shaan Shahid, Shamoon Abbasi, Aamina Sheikh, Ayub Khoso",2014
Teacher,"Farooq Zamir, Habib, Dilbar Munir, Isha Chaudhary, Maria Kamal, Mehar Akhtar",2015
3 Bahadur,"Muneeba Yaseen, Hanzala Shahid, Zuhab Khan, Behroze Sabzwari, Alyy Khan, Mustafa Changazi",2015
Maya,"Ahmed Abdul Rehman, Hina Jawad, Zain Afzal, Sheikh Mohammad Ahmed, Anam Malik",2015
Good Morning Karachi,"Amna Ilyas, Beo Raana Zafar, Yasir Aqueel, Saba Hameed, Atta Yaqub, Savera Nadeem, Farhan Ali Agha, Akif Illyas, Khalid Malik, Shaheen Khan, Aamina Sheikh, Nofil Naqvi, Merium Azmi",2015
Beyond the Heights,"Samina Baig, Mirza Ali Baig, Jawad Sharif, Sohail Parwaaz",2015
Devdas,"Nadeem Shah, Zara Sheikh, Meera, Babar Ali, Raheela Agha, Asif Khan, Masood Akhter",2015
Jalaibee,"Danish Taimoor, Ali Safina, Wiqar Ali Khan, Zhalay Sarhadi, Sajid Hasan, Sabeeka Imam, Adnan Jaffar, Uzair Jaswal",2015
Bin Roye,"Mahira Khan, Humayun Saeed, Armeena Rana Khan, Zeba Bakhtiar, Javed Sheikh",2015
Wrong No.,"Danish Taimoor, Sohai Ali Abro, Jawed Sheikh, Shafqat Cheema, Danish Nawaz, Nadeem Jafri",2015
Bazaar,"Arbaaz Khan, Pariya Khan, Sara Khan, Asma Lata",2015
Gunahgar,"Moammar Rana, Saima Khan, Babrak Shah, Sheeza Khan, Shafqat Cheema",2015
Karachi Se Lahore,"Javed Sheikh, Shehzad Sheikh, Ayesha Omer, Yasir Hussain, Aashir Wajahat, Eshita Syed, Ahmed Ali, Rasheed Naz, Mantaha",2015
Shah,"Adnan Sarwar, Kiran Choudhry, Sardar Baloch, Adeel Raees, Gulab Chandio",2015
Dekh Magar Pyaar Say,"Humaima Malick, Sikander Rizvi, Amna Ilyas, Irfan Khoosat",2015
Moor,"Hameed Sheikh, Samiya Mumtaz, Shaz Khan, Abdul Qadir, Soniya Hussain, Ayaz Samoo, Nayyar Ejaz, Eshita Mehboob, Joshinder Chaggar, Omar, Zainullah, Shabbir Rana",2015
Manto,"Sarmad Khoosat, Saba Qamar, Mahira Khan, Imran Abbas, Sania Saeed, Faisal Qureshi, Hina Khawaja Bayat, Nimra Bucha, Savera Nadeem, Adnan Jaffar, Tipu Sharif, Nadia Afghan, Afraz Rasool, Yasra Rizvi, Irfan Khoosat",2015
Kasak,"Saba Mirza, Haider Sultan, Raheela Agha",2015
Swaarangi,"Resham, Ayub Khoso Naveed Akhter, Waseem Manzoor, Zulfiqar Gulshahi, Aftab Nisar",2015
Halla Gulla,"Javed Sheikh, Ismail Tara, Sidra Batool, Ghazala javed, Asim Mehmood, Ashraf khan",2015
Jawani Phir Nahi Ani,"Humayun Saeed, Hamza Ali Abbasi, Ahmed Ali Butt, Vasay Chaudhry, Aisha Khan, Sarwat Gillani, Mehwish Hayat, Sohai Ali Abro, Javed Sheikh, Bushra Ansari, Saba Hameed",2015
Sanam,"Saima Noor, Babar Ali, Reema Khan, Naghma",2015
Ho Mann Jahaan,"Adeel Hussain, Mahira Khan, Sheheryar Munawar, Sonya Jehan, Bushra Ansari, Nimra Bucha, Arshad Mehmood, Munawar Siddiqui, Jamal Shah",2016
Bachaana,"Mohib Mirza, Sanam Saeed, Adeel Hashmi",2016
Maalik,"Ashir Azeem, Farhan Ali Agha, Sajid Hassan, Shakeel Hussain Khan, Hassan Niazi, Adnan Shah Tipu, Mohammed Ehteshamuddin, Rashid Farooqi, Tatmain ul Qalb, Mariam Ansari, Pakiza, Lubna Aslam",2016
Hijrat,"Asad Zaman, Rabia Butt, Noman Ejaz, Nadeem Baig, Salma Agha, Ayub Khoso, Rubab Ali, Wiam Dahmani, Mareeha Safdar, Zaib Rehman, Jamal Shah, Durdana Butt, Sana Nawaz",2016
Mah e Mir,"Fahad Mustafa, Iman Ali, Sanam Saeed, Manzar Sehbai, Alyy Khan",2016
Hotal,"Meera, Anees Raja, Jasmine Sandlas, Nasreen Jaan, Baila Naz, Wiam Dahmani, Tariq Jamal",2016
Aksbandh,"Bilal Yousufzai, Danial Afzal, Saud Imtiaz, Ayaz Samoo, Shehzeen Rahat, Mahrukh Rizvi, Arshad Ali",2016
Sawaal 700 Crore Dollar Ka,"Ghulam Mohiuddin, Javaid Sheikh, Shamoon Abbasi, Ismail Tara, Nayyar Ejaz, Iftikhar Thakur, Ali Mohiuddin, Qurat Ul Ain",2016
Ishq Positive,"Noor Bukhari, Wali Hamid Ali Khan, Saud, Shafqat Cheema, Saim Ali, Ahmed Ali, Faria Bukhari, Durdana Butt, Sonu Sood",2016
Revenge of the Worthless,"Jamal Shah, Ayub Khoso, Firdous Jamal, Shamyl Khan, Maira Khan, Emel Karakose, Asif Shah, Asaldin Khan, Imran Tareen, Iram, Shehrbano, Abdul Rahim, Najeebullah Anjum, Tariq Jamal, Arshad, Sultan, Kaleemullah, Qazi Zubair, Wafa Khan, Rafique, Marjan",2016
Dance Kahani,"Madeleine Hanna, Alamdar Khan, Vernin U'chong",2016
Blind Love,"Yasir Shah, Mathira, Nimra Khan, Aamir Qureshi, Fawad Jalal, Imran Bukhari",2016
A Wedding,"Lina El Arabi, Sebastien Houbani[fr], Babak Karimi, Neena Kulkarni, Olivier Gourmet, Alice de Lencquesaing, Zacharie Chasseriaud[fr], and Aurora Marion",2016
Teri Meri Love Story,"Mohib Mirza, Ushna Shah, Omar Shahzad, Uzma Khan, Mohsin Abbas Haider, Salman Shahid, Laila Zuberi, Ahmed Abdul Rehman, Ahsan Rahim, Jawad Bashir, Faisal Qureshi",2016
Janaan,"Armeena Khan, Bilal Ashraf, Ali Rehman Khan, Ajab Gul, Mishi Khan, Hania Aamir, Usman Mukhtar, Nayyar Ejaz",2016
Actor in Law,"Fahad Mustafa, Mehwish Hayat, Om Puri, Alyy Khan, Saboor Ali, Nayyar Ejaz",2016
Zindagi Kitni Haseen Hay,"Sajal Ali, Feroze Khan, Alyy Khan, Shafqat Cheema, Jibraiyl Ahmed, Nayyar Ejaz, Rashid Farooqui",2016
Abdullah: The Final Witness,"Imran Abbas, Sadia Khan, Hameed Sheikh, Sajid Hassan, Imran Tareen, Saleem Mughal, Zuhab Khan",2016
Jeewan Hathi,"Hina Dilpazeer, Naseeruddin Shah, Samiya Mumtaz, Saife Hassan, Fawad Khan, Adnan Jaffar, Nimra Bucha, Kiran Tabeer, Jahangir Khan, Nazarul Hassan",2016
Lahore Se Aagey,"Yasir Hussain, Saba Qamar, Mubashir Malik, Rubina Ashraf, Behroze Sabzwari, Atiqa Odho, Abdullah Farhatullah, Hasan Rizvi, Omer Sultan, Ashir Wajahat, Ahmed Ali",2016
Rahm,"Sanam Saeed, Rohail Pirzada, Sunil Shankar, Sajid Hasan, Nayyar Ejaz, Seerat Jafri, Khalid Butt",2016
Dobara Phir Se,"Ali Kazmi, Sanam Saeed, Hareem Farooq, Adeel Hussain, Atiqa Odho, Tooba Siddiqui, Shaz Khan",2016
Gardaab,"Amna Ilyas, Fawad Khan (Theatre Actor), Gohar Rasheed, Adnan Shah Tipu, Nimra Bucha, Naseeruddin Shah (Cameo)",2016
8969,"Saba Qamar, Sadaf Hamid, Anam Malik, Hussain Tiwana, Sama Shah, Haseeb Khan, Oun Sarvar, Ali Jabran Khan",2016
Salute (2016 film),"Ali Mohtesham as Aitzaz Hasan, Ajab Gul, Saima Noor, Imran Khan, Adnan Khan, Nayyar Ejaz, Rashid Mehmood, Pervaiz Kaleem, Jalal Haider",2016
Oye Kuch Kar Guzar,"Ali Safina, Uzair Jaswal, Ushna Shah, Mahjabeen Habib",2016
3 Bahadur: The Revenge of Baba Balaam,"Zuhab Khan, Hanzala Shahid, Arisha Razi, Fahad Mustafa, Salman Shahid, Behroze Sabzwari, Sarwat Gilani, Ahmed Ali Butt",2016
Saya e Khuda e Zuljalal,"Javed Sheikh, Firdous Jamal, Moammar Rana, Arbaaz Khan, Sohail Sameer, Rachel Gill, Nimra Khan, Kamran Mujahid, Aamir Qureshi, Rambo, Shafqat Cheema, Asad Malik, Nayyar Ejaz, Iftikhar Thakur, Jia Ali, Noor Bukhari",2016
Thora Jee Le,"Rizwan Ali Jaffri, Bilal Abbas, Ramsha Khan, Salman Faisal, Fatima Jillani, Kasim Khan, Ahsan Mohsin Ikram",2017
Balu Mahi,"Osman Khalid Butt, Ainy Jaffri, Sadaf Kanwal, Javed Sheikh, Shafqat Cheema, Durdana Butt",2017
Whistle,"Sohail Sameer, Farhan Ally Agha, Tatmain Ul Qulb, Imran Ali Mani, Osama Bin Ghaazi, Meerab Awan Meeru, Ihsan Khan, Aamir Kazmi, Daud Khan aurak",2017
Raasta,"Sahir Lodhi, Aijaz Aslam, Abeer Rizvi, Shamoon Abbasi, Mathira, Sana Nawaz, Naveed Raza, Saleem Mairaj, Irfan Motiwala, Saima Azhar",2017
Chalay Thay Saath,"Syra Shehroz, Kent S Leung, Osama Tahir, Zhalay Sarhadi, Behroze Sabzwari, Mansha Pasha, Faris Khalid, Sherbaaz Kaleem",2017
Yalghaar,"Shaan Shahid, Humayun Saeed, Adnan Siddiqui, Armeena Khan, Ayesha Omer, Ayub Khoso, Gohar Rasheed, Hassan Rana
Bilal Ashraf, Sikander Rizvi, Sana Bucha, Uzma Khan, Aleeze Nasser, Umair Jaswal, Ashir Azeem",2017
Mehrunisa V Lub U,"Danish Taimoor, Sana Javed, Jawed Sheikh, Nayyer Ejaz, Qavi Khan",2017
Geo Sar Utha Kay,"Babar Ali, Shafqat Cheema, Nayyar Ejaz, Sheharyar Cheema, Umar Cheema, Naeem Khan, Areeba Khan, Ahmad Cheema, Qaynaat Rana, Rashid Mehmood",2017
Chain Aye Na,"Shehroz Sabzwari, Sarish Khan, Adil Murad, Sobia Khan, Waqar Ali Godhra",2017
Na Maloom Afraad 2,"Urwa Hocane, Fahad Mustafa, Javed Sheikh, Nayyar Ejaz, Saleem Mairaj, Mohsin Abbas Haider, Hania Amir",2017
Punjab Nahi Jaungi,"Humayun Saeed, Mehwish Hayat, Urwa Hocane, Ahmad Ali Butt, Azfar Rehman, Saba Hameed, Waseem Abbas, Sohail Ahmed",2017
Saawan,"Syed Karam Abbas, Najiba Faiz, Saleem Mairaj, Imran Aslam, Tipu Sharif",2017
Verna,"Mahira Khan, Haroon Shahid, Zarrar Khan, Naimal Khawar, Rasheed Naz",2017
Rangreza,"Bilal Ashraf, Urwa Farhan, Gohar Rasheed, Saleem Mairaj, Akbar Subhani, Seemi Pasha",2017
Arth - The Destination,"Shaan Shahid, Humaima Malick, Uzma Hassan, Mohib Mirza",2017
Chupan Chupai,"Ahsan Khan, Neelam Muneer, Adnan Jaffar, Sakina Samo, Rehan Sheikh",2017
Parchi,"Hareem Farooq, Ali Rehman Khan, Shafqat Cheema, Ahmed Ali, Usman Mukhtar, Shafqat Khan, Faiza Saleem",2018
Allahyar & The Legend of Markhor,"Produced by 3rd World Studios :- Characters voiced by: Natasha Humera Ejaz, Ali Noor",2018
Maan Jao Na,"Elnaaz Norouzi, Adeel Chaudhry, Ayaz Samoo, Hajra Yameen, Ghana Ali, Naeem Haq, Asif Raza Mir, Asma Abbas, Nayyer Ejaz",2018
Pari,"Qavi Khan, Rasheed Naz, Saleem Mairaj",2018
Azad,"Sanam Saeed, Rehan Sheikh, Nimra Bucha, Angeline Malik, Zahid Ahmed, Salman Shahid, Sabreen Hisbani, Imran Abbas",2018
Aks,"Roma Khan, Faiza Asif, Arslan Sheraz, Jyoti Doger, Shyraa Roy, Meera, Fahad Rajpoot",2018
Tick Tock,"Ahsan Khan, Alyy Khan, Maria Memon and Ghulam Mohiuddin",2018
Cake,"Aamina Sheikh, Sanam Saeed, Adnan Malik, Faris Khalid, Hira Hussain",2018
Motorcycle Girl,"Sohai Ali Abro, Samina Peerzada",2018
Your Order Has Arrived,"Hassan Islam, Many More",2018
7 Din Mohabbat In,"Mahira Khan, Sheheryar Munawar, Jawed Sheikh, Amna Ilyas, Ayesha Omer, Hina Dilpazeer, Mira Sethi, Imran Aslam, Rimal Ali, Aamir Qureshi.",2018
Azaadi,"Moammar Rana, Sonya Hussain, Nadeem Baig",2018
Na Band Na Baraati,"Mikaal Zulfiqar, Shayan Khan, Qavi Khan, Ali Kazmi and Atiqa Odho",2018
Wajood,"Danish Taimoor, Saeeda Imtiaz",2018
Shor Sharaba,"Adnan Khan, Rabi Peerzada, Meera",2018
Jackpot,"Jawed Sheikh, Noor Hassan Rizvi, Sanam Chaudhry, Sana Fakhar",2018
Teefa in Trouble,"Ali Zafar, Maya Ali",2018
Jawani Phir Nahi Ani 2,"Humayun Saeed, Ahmed Ali Butt, Fahad Mustafa, Mawra Hocane Kubra Khan, Vasay Chaudhry, Uzma Khan, Sarwat Gilani",2018
Load Wedding,"Fahad Mustafa, Mehwish Hayat, Samina Ahmed, Noor Ul Hasan, Faiza Hasan, Qaiser Piya",2018
Parwaaz Hai Junoon,"Hamza Ali Abbasi, Ahad Raza Mir, Hania Amir, Kubra Khan",2018
Indus Blues,"Mai Dhai, Krishan Laal Bheel, Faqir Zulfiqar, Ejaz Sarhadi, Sachu Khan, Zohaib Hassan, Ustad Ziauddin",2018
The Donkey King,"Jan Rambo, Ismail Tara, Hina Dilpazeer, Ghulam Mohiuddin, Jawed Sheikh",2018
72 Ghantay,"Mohsin Mushtaq, Anjum Parvez, Rukhsar Ali, Diya Butt, Honey Albela, Sadaf, Shahzada Baghi, Ibrar Hashmi, Mishi",2018
Altered Skin,"Robin Dunne, Salman Shahid, Nimra Bucha, Khalid Aman, Mansha Pasha, Ali Kazmi and Aamir Qureshi.",2018
Pinky Memsaab,"Hajra Yamin, Kiran Malik, Adnan Jafar, Khalid Ahmed, Hajra Khan and Shameem Hilaly",2018
3 Bahadur: Rise of the Warriors,"Zuhab Khan, Arisha Razi, Bashar Shafi, Mehwish Hayat, Fahad Mustafa, Sarwat Gillani, Nimra Bucha, Behroze Sabzwari",2018
Nagin,"Kiran Malik, Farooq Ali Sheikh, Usman Chaudhary, Maqsood Anwar, Naveed Khan, Asif Shahzad",2018
Gumm: In the Middle of Nowhere,"Sami Khan, Shamoon Abbasi, Shameen Khan, Anjum Habibi, Aleeza Syed",2019
Shanakht,"Masood Akhtar, Waseem Akram, Faiz Chohan, Nayyar Ejaz",2019
Love in America,"John Shike, Nabeel Shike, Naveed Shike, Shauket Ali Khan",2019
Khed Muqadran Di,"Saima Jan, Madhu, Shams Rana, Sultan Bila, Nayab, Arif Gondal, Mithu Baral, Abida Baig",2019
Laal Kabootar,"Ahmed Ali Akbar, Mansha Pasha, Rashid Farooqui, Syed Mohammad Ahmed",2019
Sherdil,"Mikaal Zulfiqar, Armeena Rana Khan, Hassan Niazi, Sabeeka Imam",2019
Project Ghazi,"Humayun Saeed, Sheheryar Munawar, Syra Shehroz, Adnan Jaffar, Talat Hussain",2019
Junoon e Ishq,"Adnan Khan, Maahi Khan, Aamir Qureshi, Wajid Zubairi, Aftab Ahmad",2019
De Te Badmashi Wei,"Arbaz Khan, Jahangir Khan, Ajab Gul, Asif Khan, Afrin, Laila, Tariq Jamal",2019
De Te Loafari Wei,"Shahid Khan, Arbaz Khan, Jahangir Khan, Sahiba Noor, Laiba, Asif Khan, Shenaz",2019
