Movie,Cast,Release_year
Naukri,"Musarrat Nazir, Darpan, Lehri, Asha Posley",1960
Rahguzar,"Sabiha Khanum, Aslam Pervaiz, Talish, Nayyar Sultana",1960
Raat Ke Rahi,"Rehana, Darpan, Shamim Ara, Talish",1960
Roopmati Baazbahadur,"Shamim Ara, Aslam Pervaiz, Salim Raza, Talish",1960
Saheli,"Shamim Ara, Darpan, Aslam Pervaiz, Nayyar Sultana",1960
Sahil,"Shimmi, Sudhir, Talish, Nazar, Allauddin",1960
Salma,"Bahar, Ejaz Durrani, Allauddin, Yasmeen",1960
Shaam Dhaley,"Sabiha Khanum, Santosh Kumar, Nazar, Ruskhsana",1960
Shahbaz,"Yasmeen, Aslam Pervaiz, Amy Minwala, Diljeet, Nighat",1960
Shehzadi,"Neelo, Aslam Pervaiz, Emmy, Rakhshi, Sharara",1960
Street No. 77,"Musarrat Nazir, Habib, Neelo, S. Gul, Sharara",1960
Sultanat,"Sabiha Khanum, Santosh Kumar, Husna, Nazar, Ilyas",1960
Watan,"Musarrat Nazir, Syed Kamal, Ejaz Durrani, Bahar",1960
Yeh Duniya,"Jamila, Talish, Lehri, Rukhsana, Aqil",1960
Zanjeer,"Ragni, Masud, Azad, Fauzia, Nazar",1960
Ajab Khan,"Husna, Sudhir, Talish, Nasira",1961
Bara Bajje,"Neelo, Allauddin, Talish, Saqi",1961
Bekhabar,"Nasrin, Sultan, Ajmal, Zarif",1961
Bombay Walla,"Nighat, Nayyar, Saqi, Jamal",1961
Chotay Sarkar,"Musarrat Nazir, Aslam Pervaiz, Nasrin, Talish",1961
Do Raste,"Yousuf Khan, Bahar, Ejaz Durrani, Neelo, Talish",1961
Farishta,"Yasmeen, Ejaz Durrani, Husna, Talish",1961
Ghalib,"Noor Jehan, Sudhir, S. Raza, Saqi",1961
Ghazi Bin Abbas,"Husna, Ratan Kumar, Ammi, Saqi",1961
Gul Bakaoli,"Jamila Razzaq, Sudhir, Ilyas",1961
Gulfaam,"Musarrat Nazir, Darpan, Nazar, Talish",1961
Gulfarosh,"Nayyar Sultana, Kamal, Meena Shorey, Z. Raja, Naeem Hashmi",1961
Habu,"Husna, Habib, Talish, Nazar, Ami Minwala",1961
Hum Eik Hain,"Aslam Pervaiz, Jamila Razzaq, Asha Posley, Azad",1961
Insan Badalta Hai,"Shamim Ara, Darpan, Lehri, Panna",1961
Jaan Nisar,"Nazo, Rashdi, Nina, Qazi Wajid",1961
Jaduger,"Bahar, Sultan, Kamal, Husna, A. Shah",1961
Lakhon Fasane,"Suzy, Darpan, Bimla Kumari, Sikander",1961
Mangol,"Musarrat Nazir, Aslam Pervaiz, Allauddin",1961
Saperan,"Laila, Habib, Nirala, Nasira, Asad",1961
Sher-e-Islam,"Ratan Kumar, Laila, Rukhsana",1961
Son of Ali Baba,"Nayyar Sultana, Aslam Pervaiz, Husna, Asha",1961
Subhah Kahin Sham Kahin,"Neelo, Kamaal, Laila, Aslam Pervaiz, M. Ismail",1961
